Date,State,County,Latitude,Longitude,StateAbbr,county_fips,population,median_income,poverty_rate,file
2020-01-01,Alaska,Dillingham Census Area,59.46592,-158.6069,,,,,,2020 ACS 5yr
2020-01-01,Alaska,North Slope Borough,69.32729,-153.4129,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Yukon-Koyukuk Census Area,65.50939,-151.39,AK,290.0,5305.0,41728.0,0.2366,2020 ACS 5yr
2020-01-01,Alaska,Yukonâ€“Koyukuk Census Area,65.29,-151.65,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Prince of Wales-Hyder Census Area,55.80896,-133.2323,AK,198.0,6338.0,54018.0,0.1841,2020 ACS 5yr
2020-01-01,Alaska,Matanuska-Susitna Borough,61.59944,-149.1174,AK,170.0,107360.0,76118.0,0.1029,2020 ACS 5yr
2020-01-01,Alaska,Northwest Arctic Borough,67.00587,-159.998,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Southeast Fairbanks Census Area,63.87692,-143.207,AK,240.0,6911.0,66941.0,0.101,2020 ACS 5yr
2020-01-01,Alaska,Haines Borough,59.07402,-135.4726,AK,100.0,2547.0,65014.0,0.1264,2020 ACS 5yr
2020-01-01,Alaska,Anchorage Borough,61.14863,-149.1896,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Aleutians West Census Area,52.57458,-172.7802,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Kodiak Island Borough,57.58964,-153.3545,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Fairbanks North Star Borough,64.74878,-147.3526,AK,90.0,98455.0,76464.0,0.0655,2020 ACS 5yr
2020-01-01,Alaska,Juneau Borough,58.44571,-134.2342,,,,,,2020 ACS 5yr
2020-01-01,Alaska,Kenai Peninsula Borough,60.13491,-151.7406,AK,122.0,58809.0,69245.0,0.1268,2020 ACS 5yr
2020-01-01,Alaska,Valdezâ€“Cordova Census Area,61.4,-144.5,AK,,,,,2020 ACS 5yr
2020-01-01,Alaska,Ketchikan Gateway Borough,55.49327,-131.0326,,,,,,2020 ACS 5yr
2020-01-01,Arizona,Maricopa County,33.34884,-112.4912,AZ,13.0,4412779.0,67799.0,0.1272,2020 ACS 5yr
2020-01-01,Arizona,Yavapai County,34.59985,-112.5538,AZ,25.0,232396.0,53329.0,0.1258,2020 ACS 5yr
2020-01-01,Arizona,Gila County,33.79966,-110.8117,AZ,7.0,53846.0,46907.0,0.2002,2020 ACS 5yr
