Date,MRNA,PFE,BNTX,ABT,AMZN,ZM,PTON,DAL,UAL,MAR,HLT,CCL,RCL,M,KSS
2022-07-21,168.88999938964844,44.603389739990234,165.8699951171875,104.8576431274414,124.62999725341797,110.8499984741211,11.260000228881836,31.388813018798828,37.439998626708984,146.98773193359375,120.80455017089844,9.850000381469727,35.46031951904297,16.667430877685547,24.40941619873047
2022-07-22,163.52000427246094,44.699371337890625,160.16000366210938,103.44615173339844,122.41999816894531,106.55000305175781,9.770000457763672,30.789714813232422,36.33000183105469,146.90013122558594,119.67543029785156,9.260000228881836,34.58745193481445,16.345701217651367,23.903850555419922
2022-07-25,165.69000244140625,45.17053985595703,162.3699951171875,102.78302764892578,121.13999938964844,106.0999984741211,9.550000190734863,30.848642349243164,36.34000015258789,148.92489624023438,121.02243041992188,9.180000305175781,34.14109420776367,16.17589569091797,22.876916885375977
2022-07-26,160.89999389648438,45.632972717285156,159.72000122070312,103.34194946289062,114.80999755859375,100.33000183105469,8.710000038146973,30.0924015045166,35.34000015258789,147.0266571044922,119.07127380371094,8.5,32.85163116455078,15.005154609680176,20.791454315185547
2022-07-27,158.02000427246094,45.32759475708008,155.8800048828125,104.19451904296875,120.97000122070312,105.91000366210938,9.0,30.937034606933594,36.41999816894531,153.41238403320312,128.01499938964844,8.850000381469727,34.62712478637695,15.59499454498291,21.36811637878418
2022-07-28,158.07000732421875,44.597774505615234,164.9199981689453,104.5450439453125,122.27999877929688,106.22000122070312,9.329999923706055,31.133460998535156,36.7400016784668,153.8893585205078,126.77692413330078,9.100000381469727,37.55322265625,15.59499454498291,22.205461502075195
2022-07-29,164.08999633789062,44.413116455078125,165.14999389648438,103.10511779785156,134.9499969482422,103.86000061035156,9.489999771118164,31.231672286987305,36.75,154.59996032714844,126.84626770019531,9.0600004196167,38.39633560180664,15.773734092712402,23.01910972595215
2022-08-01,161.50999450683594,44.50104522705078,163.47999572753906,103.74928283691406,135.38999938964844,105.38999938964844,9.6899995803833,31.653989791870117,37.689998626708984,155.33004760742188,127.46031188964844,8.920000076293945,35.499996185302734,15.934599876403809,23.295591354370117
2022-08-02,160.80999755859375,43.692100524902344,165.77000427246094,102.91566467285156,134.16000366210938,108.16000366210938,10.720000267028809,31.251312255859375,37.22999954223633,154.03533935546875,127.4504165649414,9.350000381469727,36.36294937133789,15.38050365447998,23.11390495300293
2022-08-03,186.49000549316406,43.841583251953125,178.22999572753906,103.83454895019531,139.52000427246094,112.97000122070312,11.390000343322754,32.655757904052734,38.630001068115234,155.10614013671875,129.7185516357422,9.789999961853027,38.5252799987793,16.193771362304688,24.56740951538086
2022-08-04,194.17999267578125,43.841583251953125,180.44000244140625,103.93876647949219,142.57000732421875,112.86000061035156,10.5,32.73432540893555,38.630001068115234,154.7654571533203,129.7977752685547,9.75,39.13034439086914,15.791607856750488,23.714262008666992
2022-08-05,186.83999633789062,43.32280349731445,183.11000061035156,103.49352264404297,140.8000030517578,113.8499984741211,11.789999961853027,32.35129165649414,37.81999969482422,152.83804321289062,129.07473754882812,9.819999694824219,39.34855651855469,15.943537712097168,24.132938385009766
2022-08-08,182.94000244140625,43.58658981323242,169.3000030517578,103.25670623779297,139.41000366210938,114.73999786376953,11.90999984741211,33.146827697753906,38.650001525878906,154.0645751953125,129.47091674804688,10.010000228881836,39.90401840209961,16.78360939025879,24.851787567138672
2022-08-09,171.13999938964844,43.771240234375,157.2100067138672,102.22412109375,137.8300018310547,105.29000091552734,11.09000015258789,32.61647415161133,37.79999923706055,154.57073974609375,130.1939697265625,9.470000267028809,37.66233444213867,15.666488647460938,23.445680618286133
2022-08-10,174.27000427246094,43.92072296142578,160.9199981689453,104.45976257324219,142.69000244140625,112.01000213623047,11.920000076293945,33.323604583740234,38.689998626708984,156.95562744140625,132.38287353515625,10.34000015258789,41.34226989746094,16.35463523864746,24.74909782409668
2022-08-11,171.80999755859375,42.46109390258789,158.58999633789062,104.6681900024414,140.63999938964844,108.05999755859375,11.90999984741211,33.35306930541992,38.66999816894531,156.84857177734375,133.40301513671875,10.539999961853027,41.3819465637207,17.453882217407227,25.768129348754883
2022-08-12,171.17999267578125,44.06140899658203,160.35000610351562,105.60601043701172,143.5500030517578,109.5199966430664,13.529999732971191,33.8834228515625,39.34000015258789,159.71046447753906,136.12672424316406,10.720000267028809,42.026676177978516,17.838167190551758,26.210498809814453
2022-08-15,176.77999877929688,43.74485778808594,162.47999572753906,106.0038833618164,143.17999267578125,113.2300033569336,13.529999732971191,34.374481201171875,39.86000061035156,158.84410095214844,135.71070861816406,10.710000038146973,42.04651641845703,17.838167190551758,26.115707397460938
2022-08-16,167.9600067138672,43.841583251953125,160.3699951171875,106.12704467773438,144.77999877929688,109.19000244140625,13.6899995803833,34.70840835571289,40.290000915527344,161.82281494140625,137.69161987304688,11.1899995803833,43.72282409667969,18.865921020507812,27.719308853149414
2022-08-17,158.0,43.32280349731445,152.0399932861328,104.72502899169922,142.10000610351562,102.37999725341797,12.9399995803833,33.92271041870117,38.959999084472656,159.51158142089844,136.14654541015625,10.5600004196167,41.520809173583984,18.258207321166992,26.81876564025879
2022-08-18,150.0,42.71609115600586,147.61000061035156,104.16610717773438,142.3000030517578,103.18000030517578,12.65999984741211,33.873600006103516,39.060001373291016,160.95486450195312,137.4440155029297,10.449999809265137,41.471214294433594,18.159900665283203,24.74909782409668
2022-08-19,146.10000610351562,43.21728515625,147.9199981689453,104.26083374023438,138.22999572753906,99.5,11.710000038146973,32.655757904052734,37.5,157.37591552734375,134.18544006347656,9.869999885559082,39.32872009277344,17.33769989013672,23.611568450927734
2022-08-22,142.47000122070312,42.99746322631836,148.3000030517578,101.7883529663086,133.22000122070312,97.44000244140625,11.579999923706055,31.80130958557129,36.36000061035156,154.0017547607422,130.32269287109375,9.390000343322754,37.47386932373047,16.631683349609375,22.308156967163086
2022-08-23,143.77999877929688,42.21488571166992,147.25,100.42424011230469,133.6199951171875,81.31999969482422,11.199999809265137,32.28254699707031,36.90999984741211,154.70391845703125,131.01605224609375,9.539999961853027,38.644309997558594,17.25726890563965,22.77422523498535
2022-08-24,141.42999267578125,41.70489501953125,146.24000549316406,99.88426971435547,133.8000030517578,83.61000061035156,13.479999542236328,32.714691162109375,37.38999938964844,155.96189880371094,132.02627563476562,10.050000190734863,41.600162506103516,16.57805824279785,23.17709732055664
